1.414295051999943,0.93,-0.51,0.40,-0.40,10522.00,26.96,315.19,-5.38,3.31,3.79,36.91,0.00,0.00,2
1.5128836799995042,0.93,-0.51,0.40,-0.40,10525.00,26.95,315.19,-5.38,3.31,3.90,35.66,0.00,0.00,2
1.611474391000229,0.93,-0.51,0.40,-0.40,10520.00,26.91,315.19,-5.38,3.31,3.72,35.66,0.00,0.00,2
1.7099953110009665,0.93,-0.51,0.40,-0.40,10521.00,26.94,315.19,-5.38,3.31,3.83,35.66,0.00,0.00,2
1.8085557100002916,0.94,-0.52,0.40,-0.40,10520.00,26.95,315.19,-5.38,3.31,3.76,35.53,0.00,0.00,2
1.9071044939992134,0.94,-0.52,0.40,-0.40,10524.00,26.96,315.19,-5.38,3.31,3.51,36.16,0.00,0.00,2
2.005686923999747,0.95,-0.52,0.40,-0.40,10524.00,26.96,315.19,-5.38,3.31,3.54,35.78,0.00,0.00,2
2.1042632089993276,0.95,-0.52,0.41,-0.41,10528.00,26.97,315.19,-5.38,3.31,3.58,35.78,0.00,0.00,2
2.202830795000409,0.95,-0.52,0.40,-0.40,10521.00,26.95,315.19,-5.38,3.25,3.65,35.78,0.00,0.00,2
2.3014597349992982,0.95,-0.52,0.41,-0.41,10526.00,26.92,315.19,-5.38,3.25,3.93,35.78,0.00,0.00,2
2.400262790000852,0.95,-0.52,0.40,-0.40,10520.00,26.94,315.19,-5.38,3.31,3.54,35.78,0.00,0.00,2
2.498406418999366,0.95,-0.52,0.40,-0.40,10524.00,26.95,315.19,-5.38,3.25,3.69,36.91,0.00,0.00,2
2.596913119999954,0.95,-0.52,0.40,-0.40,10521.00,26.96,315.19,-5.38,3.25,3.79,37.16,0.00,0.00,2
2.6957685699999274,0.94,-0.52,0.40,-0.40,10522.00,26.95,315.19,-5.38,3.25,3.51,35.91,0.00,0.00,2
2.7976808330004133,
2.899733512000239,
3.0018414509995637,
3.1038667339998938,
3.2058832149996306,
3.3079463100002613,
3.409955238999828,
3.5119754709994595,
3.6140134100005525,
3.7160149949995684,
3.8179825179995532,
3.9202806649991544,
4.0223295420000795,
4.124341179000112,
4.226344013999551,
4.32835429700026,
4.430328955999357,
4.532404551000582,
4.634800040999835,
4.73734198999955,
4.8393257620009535,
4.941449846999603,
