Start Time, 2021-04-19 - 03:24:15
Sample Rate,1
Operation Mode,1
Target Depth [m],0.42
Target Height [m],99.0
Roll Kp,1.0
Roll Ki,0.0
Roll Kd,0.0
Height Kp,1.0
Height Ki,0.0
Height Kd,0.0
Depth Kp,1.0
Depth Ki,0.0
Depth Kd,0.0
Adaptive Depth Kp,1.0
Adaptive Depth Ki,0.0
Adaptive Depth Kd,0.0
Camera Mode,0
Photo Frequency [ms],0
 
 #######DATA######## 

Elapsed Time [s],Height [m],Height Error [m],Depth [m],Depth Error [m],Pressure [kPa],Temperature [C],Yaw [deg],Pitch [deg], Roll [deg], Battery Voltage [V],Battery Current [A],height out, roll out, state
0.015167109999310924,0.85,98.15,0.37,0.05,10494.00,26.93,310.25,-5.69,-2.38,3.58,34.53,0.00,0.00,1
0.025846690999969724,0.85,98.15,0.37,0.05,10494.00,27.00,310.25,-5.69,-2.31,3.54,34.66,92.37,92.37,1
0.04052354299892613,0.85,98.15,0.37,0.05,10496.00,27.04,310.25,-5.69,-2.38,3.54,34.53,92.31,92.31,1
0.056957364999107085,0.85,98.15,0.37,0.05,10493.00,27.07,310.25,-5.69,-2.50,3.54,34.53,92.37,92.37,1
0.07137515599970357,0.85,98.15,0.37,0.05,10492.00,27.08,310.25,-5.69,-2.31,3.44,34.53,92.50,92.50,1
0.08553628199842933,0.85,98.15,0.37,0.05,10489.00,27.08,310.25,-5.69,-2.38,3.51,34.66,92.31,92.31,1
0.09509008699933474,0.85,98.15,0.37,0.05,10496.00,27.09,310.25,-5.69,-2.44,3.47,34.53,92.37,92.37,1
0.10419160299898067,0.85,98.15,0.37,0.05,10492.00,27.09,310.25,-5.69,-2.44,3.58,34.53,92.44,92.44,1
0.11312119299873302,0.85,98.15,0.37,0.05,10492.00,27.10,310.25,-5.69,-2.38,3.37,34.53,92.44,92.44,1
0.1282636679989082,0.85,98.15,0.37,0.05,10493.00,27.10,310.25,-5.69,-2.38,3.51,34.53,92.37,92.37,1
0.13537462099884578,0.85,98.15,0.37,0.05,10489.00,27.10,310.25,-5.69,-2.44,3.51,34.53,92.37,92.37,1
0.14227791899975273,0.85,98.15,0.37,0.05,10494.00,27.11,310.25,-5.69,-2.38,3.47,34.66,92.44,92.44,1
0.14959428799920715,0.85,98.15,0.36,0.06,10486.00,27.11,310.25,-5.69,-2.38,3.40,34.53,92.37,92.37,1
0.16067282499898283,0.85,98.15,0.37,0.05,10496.00,27.11,310.25,-5.69,-2.38,3.54,34.78,92.37,92.37,1
0.17138589499882073,0.85,98.15,0.37,0.05,10494.00,27.11,310.25,-5.69,-2.44,3.51,34.66,92.37,92.37,1
0.18811721599922748,0.85,98.15,0.37,0.05,10492.00,27.11,310.25,-5.69,-2.44,3.51,34.53,92.44,92.44,1
0.19544488700012153,0.85,98.15,0.37,0.05,10490.00,27.11,310.25,-5.69,-2.38,3.62,34.53,92.44,92.44,1
0.2029646929986484,0.85,98.15,0.37,0.05,10490.00,27.12,310.25,-5.69,-2.38,3.54,34.53,92.37,92.37,1
0.2106698609986779,0.85,98.15,0.37,0.05,10487.00,27.11,310.25,-5.69,-2.50,3.51,34.91,92.37,92.37,1
0.21942544199919212,0.85,98.15,0.37,0.05,10492.00,27.12,310.25,-5.69,-2.38,3.51,34.78,92.50,92.50,1
0.23493687299924204,0.85,98.15,0.37,0.05,10488.00,27.12,310.25,-5.69,-2.31,3.54,34.91,92.37,92.37,1
0.24240141799964476,0.85,98.15,0.37,0.05,10494.00,27.12,310.25,-5.69,-2.44,3.54,34.53,92.31,92.31,1
0.2527724069987016,0.85,98.15,0.37,0.05,10490.00,27.12,310.25,-5.69,-2.38,3.54,34.78,92.44,92.44,1
0.25997861999894667,0.85,98.15,0.37,0.05,10490.00,27.12,310.25,-5.69,-2.38,3.51,34.66,92.37,92.37,1
0.26855763899948215,0.85,98.15,0.37,0.05,10489.00,27.12,310.25,-5.69,-2.38,3.47,34.66,92.37,92.37,1
0.2854646879986831,0.85,98.15,0.37,0.05,10491.00,27.12,310.25,-5.69,-2.38,3.51,34.66,92.37,92.37,1
0.296182444999431,0.85,98.15,0.37,0.05,10487.00,27.12,310.25,-5.69,-2.38,3.54,34.53,92.37,92.37,1
0.30571625099946687,0.85,98.15,0.37,0.05,10488.00,27.12,310.25,-5.69,-2.38,3.54,34.41,92.37,92.37,1
0.3130413700000645,0.85,98.15,0.37,0.05,10488.00,27.12,310.25,-5.69,-2.38,3.51,34.53,92.37,92.37,1
0.32264548700004525,0.85,98.15,0.37,0.05,10492.00,27.13,310.25,-5.69,-2.38,3.54,34.41,92.37,92.37,1
0.3299834709996503,0.85,98.15,0.37,0.05,10491.00,27.12,310.25,-5.69,-2.38,3.44,34.53,92.37,92.37,1
0.3382106159988325,0.85,98.15,0.37,0.05,10487.00,27.12,310.25,-5.69,-2.38,3.58,35.03,92.37,92.37,1
0.345883910998964,0.85,98.15,0.37,0.05,10492.00,27.12,310.25,-5.69,-2.38,3.47,34.53,92.37,92.37,1
0.35409256699858815,0.84,98.16,0.37,0.05,10494.00,27.13,310.25,-5.69,-2.38,3.44,34.41,92.37,92.37,1
0.3668376059995353,0.85,98.15,0.37,0.05,10487.00,27.13,310.25,-5.69,-2.38,3.51,34.41,92.37,92.37,1
0.3736817369990604,0.85,98.15,0.37,0.05,10490.00,27.13,310.25,-5.69,-2.38,3.47,34.53,92.37,92.37,1
0.38167107199842576,0.85,98.15,0.37,0.05,10489.00,27.13,310.25,-5.69,-2.38,3.47,34.53,92.37,92.37,1
0.3884403079991898,0.85,98.15,0.37,0.05,10488.00,27.13,310.25,-5.69,-2.38,3.47,34.53,92.37,92.37,1
0.39499694099868066,0.85,98.15,0.37,0.05,10494.00,27.13,310.25,-5.69,-2.38,3.72,34.66,92.37,92.37,1
0.402054717998908,0.85,98.15,0.37,0.05,10490.00,27.13,310.25,-5.69,-2.38,3.65,34.53,92.37,92.37,1
0.4123522169993521,0.85,98.15,0.37,0.05,10489.00,27.13,310.25,-5.69,-2.38,3.69,34.53,92.37,92.37,1
0.4224546659988846,0.85,98.15,0.36,0.06,10486.00,27.13,310.25,-5.69,-2.38,3.58,34.53,92.37,92.37,1
0.43289278999873204,0.85,98.15,0.37,0.05,10491.00,27.13,310.25,-5.69,-2.31,3.62,34.53,92.37,92.37,1
0.43950963099996443,0.85,98.15,0.37,0.05,10487.00,27.13,310.25,-5.69,-2.38,3.54,34.53,92.31,92.31,1
0.446847405999506,0.85,98.15,0.37,0.05,10488.00,27.13,310.25,-5.69,-2.38,3.51,34.66,92.37,92.37,1
0.45632954499888,0.85,98.15,0.37,0.05,10492.00,27.13,310.25,-5.69,-2.38,3.51,34.66,92.37,92.37,1
0.47105473000010534,0.85,98.15,0.37,0.05,10491.00,27.13,310.25,-5.69,-2.38,3.54,34.53,92.37,92.37,1
0.4850436169999739,0.85,98.15,0.37,0.05,10487.00,27.13,310.25,-5.69,-2.38,3.44,34.66,92.37,92.37,1
0.49805433199981053,0.85,98.15,0.37,0.05,10489.00,27.13,310.25,-5.69,-2.38,3.51,34.66,92.37,92.37,1
0.5099478129995987,0.85,98.15,0.37,0.05,10491.00,27.13.16,0.37,0.05,10492.00,27.15,310.25,-5.69,-2.31,3.30,34.53,92.31,92.31,1
0.5456023189999542,0.84,98.16,0.37,0.05,10488.00,27.15,310.25,-5.69,-2.31,3.51,34.53,92.31,92.31,1
0.5589950630001113,
0.651163133999944,0.84,98.16,0.37,0.05,10489.00,27.14,310.25,-5.69,-2.25,3.51,34.78,92.31,92.31,1
0.6627227109984233,
0.6745523899990076,
0.6888530460000766,
0.7100077300001431,
0.7228285499986669,
0.7345390109985601,
0.7470759259995248,
0.7613326239988965,
0.7739715179995983,
0.7859719779989973,
0.7981954049992055,
0.8100180530000216,
0.8267041660001269,
0.838912645000164,
0.8512042490001477,
0.8650999589990533,
0.881386750999809,
0.8940617909993307,
0.9060336049988109,
0.9231093509988568,
0.934895175998463,
0.9465871479987982,
0.9581852139999683,
0.9703800989991578,
0.9821500389989524,
0.993475501998546,
1.0048660169995856,
1.0165190309999161,
1.0281712109990622,
1.0396400579993497,
1.051073020998956,
1.0628375959986442,
1.0749256079998304,
1.0878582499990443,
1.1001208439993206,
1.1161757099998795,
1.1284976779988938,
1.140626106000127,
1.1537042159998236,
1.1698423629986792,
1.1824440169984882,
1.1992321609995997,
1.2133410989990807,
1.2289475819998188,
1.2432335509984114,
1.2552302610001789,
1.2703087769987178,
1.2842297999995935,
1.2982707179999124,
1.3147776649984735,
1.3299542019994988,
1.343878401999973,
1.355764799998724,
1.3713363869992463,
1.384670693998487,
1.3988281219990313,
1.4106041559989535,
1.4230926860000181,
1.4351217389994417,
1.4468616269987251,
1.4583726629989542,
1.470028175999687,
1.4825850389988773,
1.4948667989992828,
1.5063430949994654,
1.5176313189986104,
1.5290326670001377,
1.5405353169990121,
1.5530788989999564,
1.566952629998923,
1.57850580000013,
1.5912551099991106,
1.6042534299995168,
1.6310315219998301,
1.643832758998542,
1.6566983189986786,
