Start Time, 2021-04-18 - 19:22:01
Sample Rate,10
Operation Mode,1
Target Depth [m],0.42
Target Height [m],99.0
Roll Kp,1.0
Roll Ki,0.0
Roll Kd,0.0
Height Kp,1.0
Height Ki,0.0
Height Kd,0.0
Depth Kp,1.0
Depth Ki,0.0
Depth Kd,0.0
Adaptive Depth Kp,1.0
Adaptive Depth Ki,0.0
Adaptive Depth Kd,0.0
Camera Mode,0
Photo Frequency [ms],0
 
 #######DATA######## 

Elapsed Time [s],Height [m],Height Error [m],Depth [m],Depth Error [m],Pressure [kPa],Temperature [C],Yaw [deg],Pitch [deg], Roll [deg], Battery Voltage [V],Battery Current [A],height out, roll out, state
0.02165279199834913,
0.11499977099811076,10
0.20790300199951162,1
0.3000417559997004,0.42
0.39217566599836573,99.00
0.4842174929981411,1.00
0.5762619769993762,0.00
0.6684103139996296,0.00
0.7604681310003798,1.00
0.852509281001403,0.00
0.9445374099996116,0.00
1.0366012689992203,1.00
1.1287518460012507,0.00
1.2208376310009044,0.00
1.312759823998931,1
1.4046181619996787,2
1.5041191829986928,0.49,98.51,0.27,0.15,10396.00,27.84,325.19,-5.13,-3.13,2.80,34.53,0.00,0.00,1
1.5962986140002613,6
1.688413773998036,1
1.7804890389998036,2
1.8791335009991599,0.49,98.51,0.27,0.15,10395.00,27.92,325.19,-5.13,-3.25,3.97,35.28,0.00,0.00,1
1.971246577999409,6
2.0633591859987064,1
2.1554935130006925,2
2.2548806279992277,0.49,98.51,0.27,0.15,10393.00,27.96,325.19,-5.13,-3.38,3.97,34.91,0.00,0.00,1
2.3471726110001327,6
2.439354801997979,1
2.5314439729991136,2
2.6301445280005282,0.49,98.51,0.26,0.16,10389.00,27.98,325.19,-5.13,-3.44,3.76,34.78,0.00,0.00,1
2.722306772000593,6
2.81442604699987,1
2.9067201649995695,2
3.0050043150004058,0.49,98.51,0.27,0.15,10392.00,27.99,325.19,-5.13,-3.44,3.72,35.03,0.00,0.00,1
3.097191507000389,6
3.189296562999516,1
3.2814494320009544,2
3.380689255998732,0.49,98.51,0.27,0.15,10393.00,28.00,325.19,-5.13,-3.50,3.83,35.03,0.00,0.00,1
3.4728781659978267,6
3.5651937939983327,1
3.6574821829999564,2
3.756821642000432,0.49,98.51,0.27,0.15,10394.00,28.00,325.19,-5.13,-3.44,4.22,34.91,0.00,0.00,1
3.849251801999344,6
3.94136826400063,1
4.033454570999311,2
4.132588873999339,0.49,98.51,0.27,0.15,10394.00,27.99,325.19,-5.13,-3.44,3.76,35.53,0.00,0.00,1
4.224678358001256,6
4.316761851998308,1
4.409066490999976,2
4.508103451000352,0.49,98.51,0.27,0.15,10393.00,27.96,325.19,-5.13,-3.38,3.69,34.91,0.00,0.00,1
4.600208194999141,6
4.692386948998319,1
4.784515441999247,2
4.883553547999327,0.49,98.51,0.27,0.15,10391.00,27.99,325.19,-5.13,-3.44,3.72,34.91,0.00,0.00,1
4.975661208998645,6
5.07470863799972,1
5.166816454999207,2
5.266417111000919,0.49,98.51,0.27,0.15,10393.00,28.00,325.19,-5.13,-3.38,3.58,35.28,0.00,0.00,1
5.3590378949993465,6
5.451779199000157,1
5.544618836000154,2
5.644265637998615,0.49,98.51,0.27,0.15,10393.00,28.01,325.19,-5.13,-3.31,3.72,34.78,0.00,0.00,1
5.736829181998473,6
5.829511580999679,1
5.922482415000559,2
6.021388491000835,0.49,98.51,0.27,0.15,10392.00,28.01,325.19,-5.13,-3.44,3.76,34.78,0.00,0.00,1
6.113994013998308,6
6.206233913999313,1
6.298384229998192,2
6.397272336998867,0.49,98.51,0.27,0.15,10392.00,28.01,325.19,-5.13,-3.44,3.69,35.91,0.00,0.00,1
6.489806557998236,6
6.581942551998509,1
6.674136982997879,2
6.773404671999742,0.49,98.51,0.26,0.16,10389.00,28.00,325.19,-5.13,-3.63,3.79,34.78,0.00,0.00,1
6.866004935000092,6
6.958080668999173,1
7.050277652000659,2
7.14944580899828,0.49,98.51,0.27,0.15,10393.00,27.97,325.13,-5.13,-4.69,4.08,35.28,0.00,0.00,1
7.241899666998506,6
7.334071754001343,1
7.426253476998681,2
7.525306842999271,0.49,98.51,0.27,0.15,10393.00,28.00,325.19,-5.13,-3.94,3.62,34.91,0.00,0.00,1
7.61788809599966,6
7.710453724001127,1
7.803026746998512,2
7.902451415000542,0.49,98.51,0.27,0.15,10390.00,28.02,325.19,-5.13,-4.44,3.65,34.91,0.00,0.00,1
7.995059125998523,6
8.087602096999035,1
8.180144392001239,2
8.279548850998253,0.49,98.51,0.26,0.16,10389.00,28.02,325.19,-5.13,-4.31,3.76,35.03,0.00,0.00,1
8.372072655998636,6
8.464528180000343,1
8.557177922000847,2
8.65662321399941,0.49,98.51,0.27,0.15,10391.00,28.02,325.25,-5.13,-0.88,3.76,35.16,0.00,0.00,1
8.749257122999552,6
8.841795562999323,1
8.934360462000768,2
9.033810128999903,0.49,98.51,0.26,0.16,10389.00,28.02,325.31,-5.00,6.25,3.62,35.28,0.00,0.00,1
9.126488829999289,6
9.219293049998669,1
9.311880761000793,2
9.41111209600058,0.49,98.51,0.27,0.15,10392.00,28.01,325.31,-5.00,5.81,3.72,34.91,0.00,0.00,1
9.503675797001051,6
9.596227830999851,1
9.688355543999933,2
9.787188285998127,0.49,98.51,0.27,0.15,10391.00,27.98,325.13,-5.00,3.88,3.58,34.91,0.00,0.00,1
9.879748392999318,6
9.97190256400063,1
10.067865107001126,2
10.16657540199958,0.49,98.51,0.27,0.15,10390.00,28.01,325.06,-5.00,3.81,4.36,35.03,0.00,0.00,1
10.259226030000718,6
10.35152098099934,1
10.443808432999504,2
10.544828146998043,0.49,98.51,0.27,0.15,10392.00,28.02,325.13,-5.13,4.31,3.76,34.78,0.00,0.00,1
10.63745054500032,6
10.730101797998941,1
10.823023883000133,2
