Start Time, 2021-04-18 - 12:48:32
Sample Rate,10
Operation Mode,Constant Depth
Target Depth [m],0.0
Target Height [m],0.0
Roll Kp,1.0
Roll Ki,0.0
Roll Kd,0.0
Height Kp,1.0
Height Ki,0.0
Height Kd,0.0
Depth Kp,1.0
Depth Ki,0.0
Depth Kd,0.0
Adaptive Depth Kp,1.0
Adaptive Depth Ki,0.0
Adaptive Depth Kd,0.0
Camera Mode,0
Photo Frequency [ms],0
 
 #######DATA######## 

Elapsed Time [s],Height [m],Height Error [m],Depth [m],Depth Error [m],Pressure [kPa],Temperature [C],Yaw [deg],Pitch [deg], Roll [deg], Battery Voltage [V],Battery Current [A]
0.02350243299997601,Calibration Complete
0.32394767100004174,1.14,-1.14,0.46,-0.46,10581.00,22.89,307.75,-5.06,1.31,3.51,36.54
0.32914248799988854,1.14,-1.14,0.46,-0.46,10579.00,22.89,307.75,-5.06,1.25,3.51,36.54
0.334144077000019,1.14,-1.14,0.46,-0.46,10577.00,22.90,307.75,-5.06,1.25,3.51,36.41
0.33925436399999853,1.14,-1.14,0.45,-0.45,10574.00,22.90,307.75,-5.06,1.19,3.51,36.54
0.345618340999863,1.15,-1.15,0.46,-0.46,10578.00,22.90,307.75,-5.06,1.12,3.47,36.54
0.35105018900003415,1.15,-1.15,0.46,-0.46,10580.00,22.91,307.75,-5.06,1.12,3.58,36.54
0.3568862529998569,1.15,-1.15,0.46,-0.46,10576.00,22.91,307.75,-5.06,1.06,3.47,36.54
0.36217695499999536,1.15,-1.15,0.46,-0.46,10580.00,22.92,307.75,-5.06,1.19,3.54,36.54
0.367489532000036,1.14,-1.14,0.46,-0.46,10576.00,22.92,307.75,-5.06,1.19,3.47,36.54
0.3732858050000232,1.14,-1.14,0.46,-0.46,10577.00,22.92,307.75,-5.06,1.19,3.44,36.54
0.37778744799993547,0,10572.00,23.30,309.63,-5.00,-4.63.54
0.38294596399987313,1.13,-1.13,0.45,-0.45,10574.00,23.30,309.63,-5.00,-4.50,3.51,36.41
0.39092529799995646,1.13,-1.13,0.45,-0.45,10572.00,23.30,309.63,-5.00,-4.63,3.5
0.39746432699985235,1.13,-1.13,0.45,-0.45,10574.00,23.30,309.63,-5.00,-4.50,3.51,36.41
0.40247638499999994,1.13,-1.13,0.45,-0.45,10572.00,23.30,309.63,-5.00,-4.63,3.54,36.54
0.4136086199998772,
0.48728761899997153,1.13,-1.13,0.45,-0.45,10574.00,23.30,309.63,-5.00,-4.63,3.47,36.66
0.49822662499991566,
0.5095905779999157,
0.5212655699999686,
0.5970511729999544,1.13,-1.13,0.45,-0.45,10572.00,23.30,309.63,-5.00,-4.63,3.54,36.41
0.6084511149999798,
0.6194130389999373,
0.6306878769999003,
0.707698733999905,1.13,-1.13,0.45,-0.45,10572.00,23.30,309.63,-5.00,-4.81,3.47,36.41
0.7186593549999998,
0.7296937260000504,
0.7409145540000281,
0.8182318679998843,1.13,-1.13,0.45,-0.45,10571.00,23.30,309.63,-5.00,-4.94,3.54,36.41
0.8315026339998894,
0.8437410090000412,
0.8567014630000358,
0.9291727600000286,1.14,-1.14,0.46,-0.46,10576.00,23.30,309.63,-5.00,-4.88,3.62,36.41
0.9401096310000412,
0.9511622830000306,
0.9621620709999661,
1.035142636000046,1.14,-1.14,0.45,-0.45,10569.00,23.30,309.63,-5.00,-4.88,3.51,36.41
1.0461479969999345,
1.0577558019999742,
1.068891370000074,
1.142119330000014,1.14,-1.14,0.45,-0.45,10571.00,23.30,309.63,-5.00,-4.69,3.51,36.41
1.1530215660000067,
1.1643482790000235,
1.1754692120000527,
1.2524976729998798,1.14,-1.14,0.45,-0.45,10571.00,23.30,309.63,-5.00,-4.69,3.51,36.54
1.263410950999969,
1.2744004260000565,
1.2852652659998967,
1.3633644510000522,1.14,-1.14,0.45,-0.45,10573.00,23.30,309.63,-5.00,-4.13,3.47,36.54
1.3750370999998722,
1.386803706999899,
1.3981377109998903,
1.4695606279999538,1.14,-1.14,0.45,-0.45,10573.00,23.30,309.56,-5.00,-5.38,3.54,36.41
1.4808180709999306,
1.4922590019998552,
1.503473424000049,
1.5800021999998535,1.14,-1.14,0.45,-0.45,10570.00,23.30,309.56,-4.94,-5.88,3.47,36.41
1.5911631330000091,
1.6027086469998721,
1.6139154119998693,
1.6906035629999678,1.14,-1.14,0.45,-0.45,10573.00,23.30,309.56,-5.00,-4.44,3.40,36.41
1.7014943930000754,
1.712707980999994,
1.723691936000023,
1.7965466159998869,1.14,-1.14,0.45,-0.45,10569.00,23.31,309.63,-5.00,-3.63,3.44,36.41
1.8074036440000327,
1.8185036390000278,
1.8293007719998968,
1.9035969550000118,1.14,-1.14,0.46,-0.46,10577.00,23.30,309.63,-5.00,-3.75,3.51,36.41
1.9145051289999628,
1.9259315809999862,
1.9368615250000403,
2.0143695669999033,1.14,-1.14,0.45,-0.45,10570.00,23.30,309.63,-5.00,-3.56,3.44,36.41
2.02530138599991,
2.036588411999901,
2.047528459999967,
2.12048324400007,1.14,-1.14,0.45,-0.45,10574.00,23.30,309.63,-4.94,-3.06,3.47,36.41
2.1314304800000627,
2.1428080260000115,
2.154533851999986,
2.2312108559999615,1.14,-1.14,0.45,-0.45,10569.00,23.30,309.63,-4.94,-3.13,3.51,36.54
2.2420381970000562,
2.253445117999945,
2.27498599799992,
2.3418927919999533,1.14,-1.14,0.45,-0.45,10570.00,23.30,309.63,-4.94,-3.06,3.47,36.54
2.3528236209999704,
2.3642006469999615,
2.3752712670000165,
2.452631913999994,1.14,-1.14,0.45,-0.45,10571.00,23.30,309.63,-4.94,-2.56,3.44,36.54
2.4634462859999076,
2.4743802410000626,
2.4854087260000597,
2.5587689769999997,1.14,-1.14,0.45,-0.45,10568.00,23.31,309.63,-5.00,-2.31,3.44,36.41
2.569651993999969,
2.58069303100001,
2.5916804230000707,
2.669172372000048,1.14,-1.14,0.45,-0.45,10569.00,23.30,309.63,-5.00,-2.44,3.58,36.54
2.6800210139999763,
2.690989759999866,
2.7018747049999092,
2.7799100360000466,1.14,-1.14,0.45,-0.45,10572.00,23.31,309.63,-5.00,-2.75,3.54,36.41
2.7910529470000256,
2.8020801830000437,
2.8129703879999397,
2.887026259999857,1.13,-1.13,0.45,-0.45,10568.00,23.30,309.63,-5.00,-2.56,3.51,36.41
2.89807302600002,
2.91004947600004,
2.92150170900004,
2.997718351000003,1.14,-1.14,0.45,-0.45,10570.00,23.31,309.63,-5.00,-2.75,3.47,36.41
3.00857850400007,
3.0196055310000247,
3.0305462559999796,
3.1072973230000116,1.13,-1.13,0.45,-0.45,10567.00,23.31,309.56,-5.00,-2.69,3.51,36.54
3.1182492979999097,
3.1295993449998605,
3.14077621499996,
3.214464327999849,1.13,-1.13,0.45,-0.45,10568.00,23.30,309.56,-5.00,-2.81,3.51,36.41
3.2257579160000205,
3.2371868170000653,
3.248665247999952,
3.3251316280000083,1.13,-1.13,0.45,-0.45,10568.00,23.31,309.56,-5.00,-2.81,3.47,36.41
3.3362638109999807,
3.347583388999965,
3.3591443709999567,
3.4310292129998743,1.13,-1.13,0.45,-0.45,10567.00,23.30,309.56,-5.00,-2.75,3.51,36.54
3.4426573299999745,
3.4539467519998652,
3.465368516999888,
3.541709428999866,1.13,-1.13,0.45,-0.45,10566.00,23.31,309.56,-5.00,-2.56,3.58,36.41
3.552838121999912,
3.563772233000009,
3.5748230100000455,
3.652470113999925,1.13,-1.13,0.45,-0.45,10568.00,23.31,309.56,-5.00,-2.56,3.51,36.54
3.663389484999925,
3.6754259859999365,
3.687013843999921,
3.7596327960000053,1.13,-1.13,0.45,-0.45,10566.00,23.30,309.56,-5.00,-2.69,3.54,36.28
3.7711223730000256,
3.7825632520000454,
3.7944776699998783,
3.8694137979998686,1.13,-1.13,0.45,-0.45,10570.00,23.31,309.56,-5.00,-3.13,3.44,36.41
3.8802448889998686,
3.891218998999875,
3.9022154019999107,
3.980087400000002,1.14,-1.14,0.45,-0.45,10571.00,23.30,309.56,-5.00,-3.13,3.51,36.54
3.991289843000004,
4.003104887000063,
4.014728265000031,
4.090775585000074,1.14,-1.14,0.45,-0.45,10569.00,23.30,309.56,-5.00,-3.19,3.51,36.41
4.101961882000069,
4.11370312400004,
4.124968743999943,
4.201470749000009,1.14,-1.14,0.45,-0.45,10574.00,23.30,309.56,-5.00,-3.19,3.47,36.41
4.2126007439999285,
4.225021409999954,
4.236606350999864,
4.307518592999941,1.14,-1.14,0.45,-0.45,10571.00,23.30,309.63,-5.00,-2.25,3.47,36.41
4.318686139999954,
4.330051916000002,
4.3417517519999365,
4.4181266749999395,1.14,-1.14,0.45,-0.45,10570.00,23.30,309.63,-4.94,-2.44,3.51,36.41
4.428911046999929,
4.439830626000003,
4.450776455999858,
4.525263731999985,1.14,-1.14,0.45,-0.45,10572.00,23.30,309.56,-4.94,-3.75,3.51,36.41
4.536457894000023,
4.548225750000029,
4.559393558000011,
4.636075249999976,1.14,-1.14,0.46,-0.46,10575.00,23.31,309.56,-4.94,-4.63,3.47,36.41
4.648048625999991,
4.66147699499993,
4.741908719999856,1.14,-1.14,0.45,-0.45,10571.00,23.30,309.50,-4.94,-5.25,3.51,36.41
4.753117621000001,
4.764755113999854,
4.776253179999912,
4.853218203999859,1.14,-1.14,0.46,-0.46,10576.00,23.30,309.50,-4.94,-5.56,3.47,36.41
4.864725384999929,
4.876557043000048,
4.888201201999891,
4.959909847000063,1.14,-1.14,0.45,-0.45,10571.00,23.31,309.50,-4.94,-5.31,3.47,36.41
4.970710625000038,
4.9835255069999675,
5.070739645000003,1.14,-1.14,0.45,-0.45,10570.00,23.31,309.50,-4.94,-5.25,3.54,36.41
5.084277023999903,
5.096388628999875,
5.107238208999888,
5.181435642999986,1.15,-1.15,0.45,-0.45,10569.00,23.30,309.50,-4.94,-5.25,3.51,36.54
5.19333375899987,
5.206220672999962,
5.2187865979999515,
5.290729459999966,1.15,-1.15,0.45,-0.45,10568.00,23.31,309.50,-4.94,-5.00,3.51,36.41
5.302078100000017,
5.314282568999943,
5.398023859999967,1.15,-1.15,0.45,-0.45,10568.00,23.30,309.50,-4.94,-4.63,3.47,36.54
5.408930471000076,
5.420001091999893,
5.430962597999951,
5.5040902460000325,1.15,-1.15,0.45,-0.45,10570.00,23.31,309.50,-4.94,-4.69,3.51,36.41
5.515162220999855,
5.526135080999893,
5.5370973169999615,
5.615015772999868,1.14,-1.14,0.45,-0.45,10573.00,23.31,309.50,-4.94,-4.63,3.51,36.54
5.62626748699995,
5.637364669999897,
5.648161228999925,
5.725197866999906,1.14,-1.14,0.45,-0.45,10570.00,23.30,309.50,-4.94,-4.56,3.51,36.54
5.736019373999852,
5.747017912000047,
5.757843950000051,
5.831309512999951,1.14,-1.14,0.45,-0.45,10573.00,23.30,309.50,-4.94,-4.56,3.58,36.41
5.842452788999935,
5.853750283999943,
5.865145850999852,
5.941919052000003,1.14,-1.14,0.45,-0.45,10570.00,23.30,309.50,-4.94,-4.75,3.51,36.41
5.9527185279998776,
5.963782950999985,
5.974883623999858,
6.049031525999908,1.14,-1.14,0.45,-0.45,10567.00,23.31,309.50,-4.94,-4.63,3.54,36.41
6.06017464599995,
6.071517609000011,
6.082321512999897,
6.158605394000006,1.14,-1.14,0.45,-0.45,10571.00,23.31,309.50,-4.94,-4.63,3.47,36.41
6.169459713999913,
6.180417731000034,
6.191270383000074,
6.269292485000051,1.14,-1.14,0.45,-0.45,10569.00,23.31,309.63,-4.94,-4.13,3.58,36.41
6.2801451379998525,
6.291072166000049,
6.30199565099997,
6.376326991000042,1.14,-1.14,0.44,-0.44,10565.00,23.31,309.31,-4.50,-7.06,3.47,36.41
6.387438131999943,
6.398716927999885,
6.409818121999933,
6.487018716999955,1.14,-1.14,0.45,-0.45,10570.00,23.31,309.63,-3.31,-7.88,3.51,36.41
6.497842463999859,
6.508791679000069,
6.51976912300006,
6.596705240999881,1.14,-1.14,0.45,-0.45,10567.00,23.31,309.13,-3.00,-11.00,3.47,36.54
6.608246796000003,
6.619084293000014,
6.629979028999969,
6.703822609999861,1.14,-1.14,0.45,-0.45,10567.00,23.31,308.88,-2.25,-13.44,3.54,36.54
6.71498047,
6.726910825999994,
6.7381688929999655,
6.814798137000025,1.14,-1.14,0.45,-0.45,10569.00,23.31,309.50,-1.44,-13.69,3.47,36.54
6.8260306839999885,
6.837207762999924,
6.8482661959999405,
6.921046709999928,1.14,-1.14,0.45,-0.45,10568.00,23.31,309.94,-1.31,-14.75,3.54,36.54
6.931944413999872,
6.9434686259999125,
6.954576695000014,
7.031592290999924,1.14,-1.14,0.45,-0.45,10569.00,23.31,310.13,-1.44,-17.12,3.51,36.41
7.04468378699994,
7.055994978999934,
7.066946432999885,
7.142553808000002,1.14,-1.14,0.45,-0.45,10569.00,23.31,306.50,-2.38,-24.62,3.54,36.41
7.1534095859999525,
7.164454841999941,
7.1755872329999875,
7.24838910099993,1.14,-1.14,0.45,-0.45,10568.00,23.31,307.44,-2.25,-23.87,3.54,36.28
7.259292118000076,
7.270496331000004,
7.283567201999858,
7.359110097999974,1.14,-1.14,0.45,-0.45,10568.00,23.31,310.13,-2.19,-26.19,3.40,36.41
7.369937074000063,
7.381098526999949,
7.392059044000007,
7.469944843999883,1.14,-1.14,0.45,-0.45,10568.00,23.31,309.50,-2.44,-30.06,3.44,36.41
7.4809015589999035,
7.493054883000013,
7.503975763999961,
7.576032376000057,1.13,-1.13,0.45,-0.45,10569.00,23.31,309.06,-2.13,-32.81,3.47,36.41
7.586796070999981,
7.597792473000027,
7.609429079999927,
7.686695872999962,1.14,-1.14,0.45,-0.45,10568.00,23.31,308.13,-2.63,-36.44,3.51,36.54
7.6975657129999036,
7.708875030999934,
7.719778984999948,
7.797583483999915,1.14,-1.14,0.45,-0.45,10569.00,23.31,307.06,-3.44,-43.94,3.47,36.41
7.808456084999989,
7.820143056000006,
7.831429092000008,
7.9036409630000435,1.14,-1.14,0.45,-0.45,10566.00,23.31,306.44,-3.50,-49.38,3.62,36.41
7.914933456999961,
7.926977405999878,
7.938167765999879,
8.01423862699994,1.14,-1.14,0.45,-0.45,10567.00,23.31,306.44,-3.94,-50.81,3.51,36.41
8.025467840999909,
8.036948720000055,
8.049274126,
